matcode,title,ref,au,safstk,reorder,ar,desk,ordcst,eoq,lt,safty,auamt,spare,gr,nm,pstock,ind,nsaftystk,specno,matgroup,section,group_b,group_c,group_a,abc,reordqty,unitrate,dwgno
100061,10 KVA DG SET AS PER ATTACHED                ,SCOPE OF SUPPLY                     ,N0,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,                         ,,,,A ,,0,
100002,"140 KVA DG Set Installation,                 ",Testing & Commissioning             ,No,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,,,,,,,,
100003,"25 KVA DG SET INSTALLATION,TESTING           ",AND COMMISSIONING                   ,NO,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,                         ,,,,A ,,100000,
100004,500 KVA DG SET FOR TURIAL HEP-               ,PROJECT 2X30 MW                     ,NO,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,                         ,,,,,,,
100005,300 KVA SILENT MOBILE DG SET FOR             ,TAPOVAN VISHNUGHAT ELE.PROJECT      ,NO,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,                         ,,,,,,,
100006,500 KVA  DG SET FOR  TAPOVAN                 ,VISHNUGHAT  HYD. ELE.PROJECT        ,NO,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,                         ,,,,,,,
100007,1500 KVA 11KV SILENT DG SET FOR              ,4 X130 MW TAPOVAN HYD.ELEC.PROJECT  ,NO,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,                         ,,,,,,,
100008,1000 KVA (HT)DG SET FOR PURBHATHI            ,PROJECT                             ,NO,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,                         ,,,,,,,
100009,100 KVA DG SET WITH CUMMINS ENGINE           ,BHEL EML ALTER. STATER BATTRY 12.V  ,  ,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,                         ,,,,,,,
100010,20 KVA DG SET WITH ESCORTS ENGINE            ,BHEL EML ALTER. STATER BATTRY 12.V  ,  ,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,                         ,,,,,,,
100011,"20 KVA DG Set Installation,Testing           ",and Commissioning                   ,No,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,,,,,,,,
100012,"100 KVA DG Set Installation,Testing          ",and Commissioning                   ,No,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,,,,,,,,
100013,"125 KVA DG SET INSTALLATION,                 ",TESTING & COMMISSIONING             ,NO,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,                         ,,,,A ,,100000,
100014,10 KVA  SINGLE PH. DG SET WITH               ,ESCORTS ENG. AND BHEL EML ALTR.     ,NO,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,                         ,,,,,,,
100015,30 KVA DG SET WITH ESCORTS ENGINE            ,BHEL EML ALTER. STATER BATTRY 12.V  ,  ,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,                         ,,,,,,,
100016,"30 KVA DG Set Installation,Testing           ",and Commissioning                   ,No,,,,H    ,0,,0,0,,0,,,,0,,          ,Consumable          ,,,,,,,,
