matcode,title,ref,au,safstk,reorder,ar,desk,ordcst,eoq,lt,safty,auamt,spare,gr,nm,pstock,ind,nsaftystk,specno,matgroup,section,group_b,group_c,group_a,abc,reordqty,unitrate,dwgno
100061,10 KVA DG SET AS PER ATTACHED                ,SCOPE OF SUPPLY                     ,N0,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,A ,NULL,0,NULL
100002,"140 KVA DG Set Installation,                 ",Testing & Commissioning             ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100003,"25 KVA DG SET INSTALLATION,TESTING           ",AND COMMISSIONING                   ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,A ,NULL,100000,NULL
100004,500 KVA DG SET FOR TURIAL HEP-               ,PROJECT 2X30 MW                     ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100005,300 KVA SILENT MOBILE DG SET FOR             ,TAPOVAN VISHNUGHAT ELE.PROJECT      ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100006,500 KVA  DG SET FOR  TAPOVAN                 ,VISHNUGHAT  HYD. ELE.PROJECT        ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100007,1500 KVA 11KV SILENT DG SET FOR              ,4 X130 MW TAPOVAN HYD.ELEC.PROJECT  ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100008,1000 KVA (HT)DG SET FOR PURBHATHI            ,PROJECT                             ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100009,100 KVA DG SET WITH CUMMINS ENGINE           ,BHEL EML ALTER. STATER BATTRY 12.V  ,NULL,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100010,20 KVA DG SET WITH ESCORTS ENGINE            ,BHEL EML ALTER. STATER BATTRY 12.V  ,NULL,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100011,"20 KVA DG Set Installation,Testing           ",and Commissioning                   ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100012,"100 KVA DG Set Installation,Testing          ",and Commissioning                   ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100013,"125 KVA DG SET INSTALLATION,                 ",TESTING & COMMISSIONING             ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,A ,NULL,100000,NULL
100014,10 KVA  SINGLE PH. DG SET WITH               ,ESCORTS ENG. AND BHEL EML ALTR.     ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100015,30 KVA DG SET WITH ESCORTS ENGINE            ,BHEL EML ALTER. STATER BATTRY 12.V  ,NULL,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100016,"30 KVA DG Set Installation,Testing           ",and Commissioning                   ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100017,200 KVA DG SET AS PER ATTACHED               ,SCOPE OF SUPPLY                     ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,A ,NULL,1100000,NULL
100018,"750 KVA DG Set Installation,Testing          ",and Commissioning                   ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100019,"200 KVA DG Set Installation,Testing          ",and Commissioning                   ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100020,750 KVA DG Set with Acc.Enclosue             ,Spc.No.NIT Ref No. AA:GAX:12:ES:601 ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100021,"10 KVA DG Set Installation,Testing           ",and Commissioning                   ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100022,20 KVA DG SET WITH MAHINDRA ENGINE           ,BHEL EML ALTER. STATER BATTRY 12.V  ,NULL,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100023,"15 KVA DG Set Installation,Testing           ",and Commissioning                   ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100024,15 KVA DG SET WITH MAHINDRA ENGINE           ,BHEL EML ALTER. STATER BATTRY 12.V  ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100025,630 KVA DG SET                               ,NULL,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100026,82.5 KVA DG Set as per Attached              ,Scope of Supply                     ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100027,"82.5KVA DG Set Installation,Testing          ",and Commissioning                   ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100028,25 KVA DG SET AS PER ATTACHED                ,SCOPE OF SUPPLY                     ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,A ,NULL,370000,NULL
100029,DG SET 30 KVA WITH STD MANUAL C P            ,AS PER ATTACHED SCOPE OF SUPPLY     ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,A ,NULL,0,NULL
100030,40 KVA DG Set as per Attached                ,Scope of Supply                     ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100031,"40 KVA DG Set Installation,Testing           ",and Commissioning                   ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100032,250 KVA DG SET WITH CUMMINS ENGINE           ,& BHEL EML ALTR                     ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100033,500 KVA DG SET WITH CUMMINS ENGINE           ,& BHEL EML ALTR                     ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100034,"500 KVA DG Set Installation,Testing          ",and Commissioning                   ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100035,Electrical Inspectorate Approval             ,for changing DG Set from            ,No,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100036,250 KVA DG SET WITH LEYLAND ENGINE           ,& BHEL EML ALTERNATOR               ,NO,NULL,NULL,NULL,H    ,0,NULL,1,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100037,500 KVA DG SET AS PER ATTACHED               ,SCOPE OF SUPPLY                     ,NO,NULL,NULL,NULL,H    ,0,NULL,1,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100038,63 KVA DG SET AS PER ATTACHED-               ,SCOPE OF SUPPLY                     ,NO,NULL,NULL,NULL,H    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Consumable          ,NULL,NULL,NULL,NULL,A ,NULL,500000,NULL
